Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,City,State,Postal Code,Product ID,Category,Product Name,Sales,Quantity
CA-2013-152156,2013-11-09T00:00:00,2013-11-12T00:00:00,SecondClassShipment,CG-12520,Claire Gute,Henderson,Kentucky,42420,FUR-BO-10001798,Furniture,Bush Somerset Collection Bookcase,261.96,2
CA-2013-152156,2013-11-09T00:00:00,2013-11-12T00:00:00,SecondClassShipment,CG-12520,Claire Gute,Henderson,Kentucky,42420,FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3
CA-2013-138688,2013-06-13T00:00:00,2013-06-17T00:00:00,SecondClassShipment,DV-13045,Darrin Van Huff,Los Angeles,California,90036,OFF-LA-10000240,OfficeSupplies,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2
US-2012-108966,2012-10-11T00:00:00,2012-10-18T00:00:00,StandardClassShipment,SO-20335,Sean O'Donnell,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,957.5775,5
US-2012-108966,2012-10-11T00:00:00,2012-10-18T00:00:00,StandardClassShipment,SO-20335,Sean O'Donnell,Fort Lauderdale,Florida,33311,OFF-ST-10000760,OfficeSupplies,Eldon Fold 'N Roll Cart System,22.368,2
CA-2011-115812,2011-06-09T00:00:00,2011-06-14T00:00:00,StandardClassShipment,BH-11710,Brosina Hoffman,Los Angeles,California,90032,FUR-FU-10001487,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7
CA-2011-115812,2011-06-09T00:00:00,2011-06-14T00:00:00,StandardClassShipment,BH-11710,Brosina Hoffman,Los Angeles,California,90032,OFF-AR-10002833,OfficeSupplies,Newell 322,7.28,4
CA-2011-115812,2011-06-09T00:00:00,2011-06-14T00:00:00,StandardClassShipment,BH-11710,Brosina Hoffman,Los Angeles,California,90032,TEC-PH-10002275,Technology,Mitel 5320 IP Phone VoIP phone,907.152,6
CA-2011-115812,2011-06-09T00:00:00,2011-06-14T00:00:00,StandardClassShipment,BH-11710,Brosina Hoffman,Los Angeles,California,90032,OFF-BI-10003910,OfficeSupplies,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3
CA-2011-115812,2011-06-09T00:00:00,2011-06-14T00:00:00,StandardClassShipment,BH-11710,Brosina Hoffman,Los Angeles,California,90032,OFF-AP-10002892,OfficeSupplies,Belkin F5C206VTEL 6 Outlet Surge,114.9,5
CA-2011-115812,2011-06-09T00:00:00,2011-06-14T00:00:00,StandardClassShipment,BH-11710,Brosina Hoffman,Los Angeles,California,90032,FUR-TA-10001539,Furniture,Chromcraft Rectangular Conference Tables,1706.184,9
CA-2011-115812,2011-06-09T00:00:00,2011-06-14T00:00:00,StandardClassShipment,BH-11710,Brosina Hoffman,Los Angeles,California,90032,TEC-PH-10002033,Technology,Konftel 250 Conference phone - Charcoal black,911.424,4
